cfr_1,cfr_2,n_receptors,pct_receptors,both_ends_top50
3.49x49,3.50x50,169,59.7173,True
2.39x39,3.50x50,161,56.8905,True
6.44x44,6.48x48,156,55.1237,True
7.54x54,8.50x50,152,53.7102,True
6.44x44,7.45x45,142,50.1767,True
7.54x54,8.51x51,139,49.1166,True
5.58x58,6.38x38,138,48.7633,True
6.48x48,7.42x41,131,46.2898,True
3.43x43,7.53x53,130,45.9364,True
3.40x40,6.48x48,122,43.1095,True
2.43x43,7.53x53,118,41.6961,True
6.36x36,7.56x56,116,40.9894,True
3.50x50,7.53x53,116,40.9894,True
7.45x45,7.49x49,115,40.636,True
7.53x53,8.50x50,115,40.636,True
3.36x36,6.48x48,106,37.4558,True
7.55x55,8.51x51,98,34.629,True
3.40x40,6.44x44,97,34.2756,True
7.50x50,7.55x55,95,33.5689,True
6.48x48,7.45x45,91,32.1555,True
